Model,MDO3104
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.02,,
Horizontal Delay,0,,
Sample Interval,2e-07,,
Record Length,1e+06,,
Gating,70.96500% to 75.0600%,,
Probe Attenuation,10,10,10
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,5,5,5
Vertical Position,1.18,0,-1.06
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
4.199800e-02,4.9,0.2,0.1
4.199820e-02,5.1,0,0.1
4.199840e-02,5.1,0.2,0.1
4.199860e-02,4.9,0.2,0.3
4.199880e-02,5.1,0,-0.1
4.199900e-02,5.1,0,-0.1
4.199920e-02,5.1,0,0.1
4.199940e-02,4.9,0.2,0.1
4.199960e-02,5.1,0.2,0.1
4.199980e-02,5.3,0.2,0.1
4.200000e-02,5.3,0.2,0.1
4.200020e-02,4.9,0.2,0.3
4.200040e-02,5.3,0.2,0.1
4.200060e-02,5.1,0,0.1
4.200080e-02,5.3,0.2,-0.1
4.200100e-02,5.3,0,0.1
4.200120e-02,5.1,0.2,0.1
4.200140e-02,5.1,0,0.3
4.200160e-02,5.1,0,0.1
4.200180e-02,5.3,0,0.3
4.200200e-02,5.3,0,0.1
4.200220e-02,5.1,0,0.1
4.200240e-02,5.1,0,0.1
4.200260e-02,5.3,0.2,-0.1
4.200280e-02,4.9,0.2,-0.1
4.200300e-02,5.1,0.2,0.1
4.200320e-02,5.1,0.2,0.1
4.200340e-02,5.3,0,0.1
4.200360e-02,5.3,0.2,0.1
4.200380e-02,5.1,0,0.5
4.200400e-02,5.3,0.2,0.1
4.200420e-02,5.5,0.2,0.1
4.200440e-02,5.1,0,0.1
4.200460e-02,5.1,0,0.1
4.200480e-02,5.3,0.2,0.1
4.200500e-02,5.3,0.2,0.1
4.200520e-02,5.1,0,0.3
4.200540e-02,5.1,0,0.1
4.200560e-02,5.1,0.2,0.1
4.200580e-02,5.3,0,-0.1
4.200600e-02,5.3,0.2,0.3
4.200620e-02,5.3,0.2,0.1
4.200640e-02,5.3,0,0.1
4.200660e-02,5.3,0.2,0.3
4.200680e-02,5.1,0.4,0.1
4.200700e-02,5.3,0,0.1
4.200720e-02,5.1,0.2,0.1
4.200740e-02,5.3,0,0.1
4.200760e-02,5.1,0.2,0.1
4.200780e-02,5.1,0.2,0.1
4.200800e-02,4.9,0.2,0.1
4.200820e-02,5.1,0.2,0.1
4.200840e-02,4.9,0,0.1
4.200860e-02,5.1,0.2,0.1
4.200880e-02,5.3,0.2,0.1
4.200900e-02,5.1,0.2,0.1
4.200920e-02,5.3,0.2,0.1
4.200940e-02,4.9,0.2,0.3
4.200960e-02,5.1,0.2,0.1
4.200980e-02,5.1,0,0.1
4.201000e-02,5.1,0,0.1
4.201020e-02,5.1,0.2,0.1
4.201040e-02,5.1,0.2,0.1
4.201060e-02,5.1,0,0.1
4.201080e-02,5.1,0,0.1
4.201100e-02,5.1,0.2,0.1
4.201120e-02,4.9,0.2,0.1
4.201140e-02,5.1,0,0.3
4.201160e-02,5.1,0.2,0.1
4.201180e-02,5.3,0.2,1.1
4.201200e-02,5.1,0.2,2.9
4.201220e-02,5.1,0.4,3.3
4.201240e-02,5.3,0.6,3.5
4.201260e-02,5.1,2.2,3.5
4.201280e-02,5.3,3.2,3.9
4.201300e-02,5.3,3.8,3.9
4.201320e-02,5.3,4.6,3.9
4.201340e-02,5.3,4.8,4.3
4.201360e-02,5.3,4.8,4.1
4.201380e-02,5.1,5,4.1
4.201400e-02,5.3,5,4.3
4.201420e-02,5.3,5,4.1
4.201440e-02,5.3,4.8,3.9
4.201460e-02,5.1,4.8,4.1
4.201480e-02,5.3,4.8,4.1
4.201500e-02,5.1,4.8,4.1
4.201520e-02,5.1,4.8,4.1
4.201540e-02,4.9,5,3.9
4.201560e-02,5.3,5,4.1
4.201580e-02,4.9,4.8,4.1
4.201600e-02,5.3,5,4.1
4.201620e-02,5.3,4.8,4.3
4.201640e-02,4.9,4.8,4.1
4.201660e-02,5.1,5,4.5
4.201680e-02,4.9,5,4.5
4.201700e-02,5.1,5,4.1
4.201720e-02,5.1,5,4.5
4.201740e-02,5.1,5,4.1
4.201760e-02,5.1,4.8,4.7
4.201780e-02,5.3,4.8,4.3
4.201800e-02,5.3,5,4.3
4.201820e-02,5.1,5,4.3
4.201840e-02,5.1,4.8,4.5
4.201860e-02,5.1,5.2,4.5
4.201880e-02,5.1,5,4.3
4.201900e-02,5.3,4.8,4.7
4.201920e-02,5.5,4.8,4.5
4.201940e-02,5.3,5,4.5
4.201960e-02,5.1,5,4.5
4.201980e-02,5.1,4.8,4.5
4.202000e-02,5.1,5.2,4.5
4.202020e-02,5.1,5,4.5
4.202040e-02,5.1,5,4.5
4.202060e-02,5.3,4.8,4.3
4.202080e-02,4.9,5,4.7
4.202100e-02,5.1,4.8,4.7
4.202120e-02,5.1,5,4.7
4.202140e-02,5.5,4.8,4.7
4.202160e-02,5.1,5,4.5
